subscriber_id,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,actual_failure,fiber_length_km,helix_factor,fault_position_pct
1,-20.1,-20.4,-20.7,-21.0,-21.3,-21.6,-21.9,-22.2,0,4.20,1.04,0.85
2,-18.3,-18.5,-18.8,-19.1,-19.5,-19.9,-20.4,-20.9,0,3.50,1.05,0.85
3,-22.5,-22.8,-23.1,-23.5,-23.9,-24.3,-24.8,-25.3,1,5.80,1.06,0.90
4,-19.0,-19.2,-19.5,-19.8,-20.1,-20.5,-20.9,-21.4,0,4.10,1.03,0.85
5,-21.2,-21.6,-22.0,-22.5,-23.0,-23.5,-24.1,-24.7,1,6.30,1.07,0.92
6,-17.9,-18.0,-18.2,-18.4,-18.7,-19.0,-19.3,-19.7,0,3.80,1.04,0.84
7,-20.5,-20.8,-21.2,-21.6,-22.0,-22.5,-23.0,-23.6,1,5.50,1.05,0.88
8,-18.7,-18.9,-19.2,-19.5,-19.9,-20.3,-20.8,-21.3,0,4.40,1.04,0.85
9,-22.0,-22.4,-22.8,-23.2,-23.7,-24.2,-24.8,-25.4,1,7.10,1.08,0.93
10,-19.4,-19.7,-20.0,-20.4,-20.8,-21.3,-21.8,-22.4,0,5.20,1.06,0.87
11,-20.8,-21.2,-21.7,-22.2,-22.7,-23.3,-23.9,-24.6,1,6.80,1.07,0.91
12,-18.1,-18.3,-18.6,-18.9,-19.2,-19.6,-20.0,-20.5,0,4.00,1.04,0.85
13,-21.5,-21.9,-22.4,-22.9,-23.4,-24.0,-24.6,-25.3,1,6.00,1.06,0.89
14,-19.1,-19.4,-19.7,-20.1,-20.5,-21.0,-21.5,-22.1,0,5.00,1.05,0.87
15,-22.3,-22.7,-23.2,-23.7,-24.2,-24.8,-25.4,-26.1,1,7.50,1.08,0.94
16,-18.5,-18.7,-19.0,-19.3,-19.7,-20.1,-20.6,-21.1,0,3.90,1.04,0.85
17,-20.2,-20.6,-21.0,-21.5,-22.0,-22.5,-23.1,-23.7,1,5.60,1.06,0.88
18,-19.6,-19.9,-20.2,-20.6,-21.0,-21.5,-22.0,-22.6,0,4.80,1.05,0.87
19,-22.8,-23.2,-23.7,-24.2,-24.7,-25.3,-25.9,-26.6,1,8.20,1.09,0.95
20,-18.9,-19.2,-19.5,-19.9,-20.3,-20.8,-21.3,-21.9,0,4.30,1.04,0.86
21,-20.6,-21.0,-21.5,-22.0,-22.5,-23.1,-23.7,-24.4,1,5.90,1.06,0.90
22,-18.0,-18.2,-18.5,-18.8,-19.2,-19.6,-20.1,-20.6,0,3.60,1.03,0.84
23,-21.8,-22.2,-22.7,-23.2,-23.8,-24.4,-25.0,-25.7,1,7.00,1.07,0.92
24,-19.3,-19.6,-20.0,-20.4,-20.9,-21.4,-22.0,-22.6,0,4.60,1.05,0.87
